,equipmentId,nominalLoad,locationId,coolingType,manufactureYear,commissioningDate,enclosure,noLoadLosses,copperLosses,ambiantTemperature,deltaTopOil,deltaHotspot,x,y,h,gradient
0,50033827,40.0,26,ONAF1,2008,2010-03-17T00:00:00,1 wall,16.37,186.51,25.4,54.1,67.4,0.73,1.48,1.13,11.8
1,50282127,40.0,11,ONAF1,2015,2015-08-07T00:00:00,no wall,15.51,149.18,22.7,46.8,62.8,0.72,1.32,1.16,13.8
2,50277055,40.0,19,ONAF1,2013,2014-08-08T00:00:00,2 walls,15.51,149.18,22.7,46.8,62.8,0.72,1.32,1.16,13.8
3,5004625,40.0,5,ONAF1,2001,2008-01-01T00:00:00,* no info,16.02,223.28,27.8,48.9,65.7,0.62,1.98,1.3,12.9
4,5004597,40.0,5,ONAF1,2001,2008-01-01T00:00:00,* no info,16.15,216.05,25.0,48.9,65.7,0.62,1.98,1.3,12.9
5,24917,40.0,18,ONAF1,1997,2013-12-13T00:00:00,no wall,15.6,200.4,25.0,54.8,72.0,0.73,1.4,1.3,13.2
6,33291,50.0,23,ONAF1,1998,2008-01-01T00:00:00,no wall,19.97,244.3,25.0,47.9,65.4,0.74,1.43,1.3,13.5
7,5026188,50.0,23,ONAF1,2006,2007-10-02T00:00:00,no wall,18.15,271.8,31.2,49.4,71.9,0.79,1.39,1.3,17.3
8,5017873,25.0,16,ONAF1,2004,2005-11-23T00:00:00,3 walls,11.15,157.09,24.5,45.4,60.8,0.9,1.6,1.35,11.4
9,5017843,25.0,16,ONAF1,2005,2005-12-15T00:00:00,3 walls,11.15,157.09,24.5,45.4,60.8,0.9,1.6,1.35,11.4
10,76075,25.0,2,ONAN,1998,2008-01-01T00:00:00,4 walls + roof,12.22,106.13,24.9,49.4,61.3,0.9,1.95,1.1,10.8
11,76632,25.0,2,ONAN,1998,2008-01-01T00:00:00,4 walls + roof,12.0,106.13,24.9,49.4,61.3,0.9,1.95,1.1,10.8
12,5025312,25.0,2,ONAF1,2007,2018-01-26T00:00:00,4 walls,12.27,106.3,23.0,51.9,67.7,0.66,1.34,1.1,14.4
13,5030256,25.0,24,ONAF1,2007,2008-01-01T00:00:00,4 walls + roof,12.27,106.3,23.0,51.9,67.7,0.66,1.34,1.1,14.4
14,50250035,25.0,22,ONAF1,2013,2013-06-13T00:00:00,no wall,10.11,156.87,22.9,51.0,70.0,0.75,1.41,1.19,16.0
15,5027447,50.0,17,ONAF1,2007,2007-12-05T00:00:00,no wall,17.18,236.62,28.3,46.7,63.0,0.9,1.6,1.09,15.0
16,50249457,25.0,2,ONAF1,2011,2016-04-15T00:00:00,4 walls,9.5,106.3,23.0,51.9,67.7,0.66,1.34,1.1,14.4
